"Website","Product Name","Price","Image URL","Specification 1","Specification 2","Specification 3","Specification 4","Specification 5","Specification 6","Specification 7","Specification 8","Specification 9","Specification 10","Specification 11","Specification 12","Specification 13","Specification 14","Specification 15","Specification 16","Specification 17","Specification 18","Specification 19","Specification 20","Specification 21","Specification 22","Specification 23","Specification 24","Specification 25","Specification 26","Specification 27","Specification 28","Specification 29","Specification 30","Specification 31","Specification 32","Specification 33","Specification 34","Specification 35","Specification 36","Specification 37","Specification 38","Specification 39","Specification 40","Specification 41","Specification 42","Specification 43","Specification 44","Specification 45","Specification 46","Specification 47"
"RIVERSOFT","Frizider Minibar Muhler MB51WF","6899.00 ден.","https://digimak.s3.eu-west-1.amazonaws.com/riversoft/9992907/1.webp","Климатска класа: ST","Ниво на бучава: 39dB","Вкупен волумен: 41L","Волумен на фрижидерски дел: 41L","Годишна потрошувачка на енергија: 99kWh","Фрижидер: R600a","Енергетска класа: F","Реверзибилна врата: Да","No Frost: Не","Фрижидерен дел: 1 полица, 2 полици на вратата","Тежина на испорака: 15кг","Нето тежина: 14кг","Димензии на производот (WxHxD): 440x515x475mm","Димензии на пакетот (WxHxD): 460x528x510mm","Боја: Бела","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RIVERSOFT","Frizider minibar Muhler MB51IF","7199.00 ден.","https://digimak.s3.eu-west-1.amazonaws.com/riversoft/9998021/1.webp","Климатска класа: ST","Ниво на бучава: 39dB","Вкупен волумен: 41L","Волумен на фрижидерски дел: 41L","Годишна потрошувачка на енергија: 99kWh","Фрижидер: R600a","Енергетска класа: F","Реверзибилна врата: Да","No Frost: Не","Фрижидерен дел: 1 полица, 2 полици на вратата","Тежина на испорака: 15кг","Нето тежина: 14кг","Димензии на производот (WxHxD): 440x515x475mm","Димензии на пакетот (WxHxD): 460x528x510mm","Боја: Инокс","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RIVERSOFT","Frizider VOX KS 1200E , E klasa, 82L","7999.00 ден.","https://digimak.s3.eu-west-1.amazonaws.com/riversoft/107447/1.webp","ОСНОВНИ ИНФОРМАЦИИ","Нето - волумен на артиклите во фрижидерот 90 л","Бојата Бело","Гаранција 5 години","Класа на енергија E","Тип на контрола Механички","ТЕХНИЧКИ КАРАКТЕРИСТИКИ","Внатрешност на фрижидерот 3 стаклени сталажи, 1 фиока, 2 полици-сталажи со врати","Годишно потрошена енергија (kWh) 107 kWh","Климатска класа T / SN","Нето капацитет на уредот 90 l","Ниво на бучава 41 dB","Реверзибилна врата Да","Систем за ладење Static","Систем за одмрзнување Автоматски","Сретство за ладење R600a","Тивко работење Дa","БЕЗБЕДНА УПОТРЕБА","Анти-бактериска заштита Да","ДИМЕНЗИИ И ТЕЖИНА","Нето тежина 23 kg","Количински товар (40ftHC контејнер) 274 ком","Вкупна тежина 25 кг","Димензии на уредот (ШxВxД) 480x821x500 мм","Дименѕије спкованог апарата (ШxВxД) 519x878x544 мм","","","","","","","","","","","","","","","","","","","","","",""
"RIVERSOFT","Frizider VOX KS 1100E 89L(77L/12L) Bel E klasa","8299.00 ден.","https://digimak.s3.eu-west-1.amazonaws.com/riversoft/9998348/1.webp","Нето - волумен на артиклите во фрижидерот 77 л","Бојата Бело","Класа на енергија E","Нето - волумен на артиклите во замрзнувачот 12 л","Тип на контрола Механички","ТЕХНИЧКИ КАРАКТЕРИСТИКИ","Годишно потрошена енергија (kWh) 136 kWh","Емисија на бучава 41 dB","Нето капацитет на уредот 89 l","Реверзибилна врата Да","Систем за ладење Static","Систем за одмрзнување Автоматски / Прирачник","Сретство за ладење R600a","БЕЗБЕДНА УПОТРЕБА","Анти-бактериска заштита Да","ДИМЕНЗИИ И ТЕЖИНА","Нето тежина 22.5 кг","Вкупна тежина 24.5 кг","Димензии на уредот (ШxВxД) 480x821x500 мм","Димензија на спакуван апарат (ШxВxД) 519x878x544 мм","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RIVERSOFT","Frizider VOX KS1430E 122L(105L/17L) so mala komora Bel E klasa","10499.00 ден.","https://digimak.s3.eu-west-1.amazonaws.com/riversoft/9999377/1.webp","ОСНОВНИ ИНФОРМАЦИИ","Нето - волумен на артиклите во фрижидерот 105 л","Бојата Бела","Гаранција 5 години","Нето - волумен на артиклите во замрзнувачот 17 л","Тип на контрола Механички","ТЕХНИЧКИ КАРАКТЕРИСТИКИ","Капацитет на замрзнување 2.6 кг","Емисија на бучава 40 dB","Класа на емисија на бучава C","Нето капацитет на уредот 122 л","Ниво на бучава 40 dB","Реверзибилна врата Да","Систем за ладење Static","Систем за одмрзнување Автоматски / Прирачник","Сретство за ладење R600a","Тивко работење Дa","Час за осветлување F","БЕЗБЕДНА УПОТРЕБА","Анти-бактериска заштита Да","ДИМЕНЗИИ И ТЕЖИНА","Димензии на уредот (ШxВxД) 540x838x595 мм","Дименѕије спкованог апарата (ШxВxД) 578x883x632 мм","","","","","","","","","","","","","","","","","","","","","","","",""
"RIVERSOFT","Frizider VOX KS 1430 SF ,Siv , so vnatresna komora 104/17L ,F klasa","10599.00 ден.","https://digimak.s3.eu-west-1.amazonaws.com/riversoft/50125-3/1.webp","Категорија Фрижидери со една врата","Тип Фрижидер со една врата","Нето капацитет на уредот 121 l","Бруто капацитет на уредот 123 l","Нето - волумен на артиклите во фрижидерот 104 l","Нето - волумен на артиклите во замрзнувачот 17 l","Капацитет на замрзнување 2 кг","Внатрешност на фрижидерот 2 стаклени сталажи,1 фиока, 3 сталажи со врати","Внатрешен замрзнувач Комора","Технологија Тивко работење","Климатска класа T / SN","Гас R600a","Класа на енергија A+","Реверзибилна врата Да","Ниво на бучава 40 dB","Потрошена енергија 182 kWh","Длабочина на фрижидерот 595 мм","Ширина на фрижидерот 540 мм","Висина на фрижидерот 838 mm","Гаранција 5 години","Boja Сива","Димензии на апаратот (ШxВxД) 578x883x632 мм","Нето тежина 27,5","Вкупна тежина 29,5 kg","Количината на товарот (40 ft HC контејнер) 225 ком","Гаранција 5 години","","","","","","","","","","","","","","","","","","","","",""
"RIVERSOFT","Frizider VOX KS1430SE 122L(105L/17L) so mala komora Inox E klasa","11099.00 ден.","https://digimak.s3.eu-west-1.amazonaws.com/riversoft/9999233/1.webp","ОСНОВНИ ИНФОРМАЦИИ","Нето - волумен на артиклите во фрижидерот 105 л","Бојата Сиво","Гаранција 5 години","Нето - волумен на артиклите во замрзнувачот 17 л","Тип на контрола Механички","ТЕХНИЧКИ КАРАКТЕРИСТИКИ","Капацитет на замрзнување 2.6 кг","Емисија на бучава 40 dB","Класа на емисија на бучава C","Нето капацитет на уредот 122 л","Ниво на бучава 40 dB","Реверзибилна врата Да","Систем за ладење Static","Систем за одмрзнување Автоматски / Прирачник","Сретство за ладење R600a","Тивко работење Дa","Час за осветлување F","БЕЗБЕДНА УПОТРЕБА","Анти-бактериска заштита Да","ДИМЕНЗИИ И ТЕЖИНА","Димензии на уредот (ШxВxД) 540x838x595 мм","Дименѕије спкованог апарата (ШxВxД) 578x883x632 мм","","","","","","","","","","","","","","","","","","","","","","","",""
"RIVERSOFT","Frizider kombiniran VOX KG 2500SE Srebren 213L(171L/42L) E klasa","12749.00 ден.","https://digimak.s3.eu-west-1.amazonaws.com/riversoft/9998349/1.webp","Нето - волумен на артиклите во фрижидерот 171 л","Бојата Cиво","Гаранција 5 години","Класа на енергија E","Нето - волумен на артиклите во замрзнувачот 42 л","ТЕХНИЧКИ КАРАКТЕРИСТИКИ","Капацитет на замрзнување 2.6 кг","Годишно потрошена енергија (kWh) 213 kWh","Емисија на бучава 41 dB","Климатска класа N","Нето капацитет на уредот 213 л","Ниво на бучава 41 dB","Реверзибилна врата Да","Сретство за ладење R600a","Тивко работење Дa","БЕЗБЕДНА УПОТРЕБА","Анти-бактериска заштита Да","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RIVERSOFT","Frizider HOOBART RFHBHOLA143SW, A","12999.00 ден.","https://digimak.s3.eu-west-1.amazonaws.com/riversoft/47014136/1.webp","Фрижидер","Енергетска класа: A","Ниво на бучава: 40dB","Механички контроли","Димензии: 54.5 x 55.5 x 143cm","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RIVERSOFT","Frizider VOX KS 2830 F , White, Odrzuvac, 255L, 41db, F klasa","13999.00 ден.","https://digimak.s3.eu-west-1.amazonaws.com/riversoft/116353-1/1.webp","Категорија Фрижидери со една врата","Тип Фрижидер со една врата","Тип на контрола Механички","Нето капацитет на уредот 255 л","Нето - волумен на артиклите во фрижидерот 255 л","Внатрешност на фрижидерот 5 стаклени полици, 1 фиока, 4 полици -сталажи со врати","Систем за ладење Static","Систем за одмрзнување Автоматски","Сад за јајца Да","Технологија Анти-бактериска заштита","Класа на енергија F","Гас R600a","Zero Clearance Да","Климатска класа N","Емисија на бучава 41 dB","Класа на емисија на бучава C","Вид на осветлување LED","Час за осветлување F","Реверзибилна врата Да","Полици за прилагодување Да","Лесно чистење на ентериерот Да","Потрошена енергија (kWh/години) 132 kWh","Висина на фрижидерот 1455 мм","Ширина на фрижидерот 540 мм","Длабочина на фрижидерот 595 мм","Гаранција 5 години","Боја Бела","Димензии на спакован (ШxВxД) 578x1509x632 мм","Нето тежина 39 кг","Вкупна тежина 42 кг","","","","","","","","","","","","","","","","",""
